announcement_code,title,contract_symbol,base_symbol,listing_type,margin_type,product_variant,asset_type,launch_stage,published_at,launch_time,underlying,settlement_asset,maximum_leverage,capped_funding_rate,funding_interval,tick_size,min_trade_amount,min_notional_value,trading_hours,project_info,trade_url,announcement_url
88ea4a4f9f0b4ad4b7b308195c026fe4,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-06-22),CIENUSDT,CIEN,perpetual,USDⓈ-M,,股票,standard,2026-06-22T08:15:20.368000Z,2026-06-22T13:50:00Z,Ciena Corporation Common Stock (NYSE: CIEN),USDT,20x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 CIEN,5 USDT,24/7,CIENUSDT Perpetual Contract tracks the price of Ciena Corporation Common Stock (NYSE: CIEN).,https://www.binance.com/en/futures/CIENUSDT,https://www.binance.com/en/support/announcement/detail/88ea4a4f9f0b4ad4b7b308195c026fe4
88ea4a4f9f0b4ad4b7b308195c026fe4,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-06-22),SMCIUSDT,SMCI,perpetual,USDⓈ-M,,股票,standard,2026-06-22T08:15:20.368000Z,2026-06-22T13:45:00Z,"Super Micro Computer, Inc. Common Stock (Nasdaq: SMCI)",USDT,20x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 SMCI,5 USDT,24/7,"SMCIUSDT Perpetual Contract tracks the price of Super Micro Computer, Inc. Common Stock (Nasdaq: SMCI).",https://www.binance.com/en/futures/SMCIUSDT,https://www.binance.com/en/support/announcement/detail/88ea4a4f9f0b4ad4b7b308195c026fe4
88ea4a4f9f0b4ad4b7b308195c026fe4,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-06-22),ALABUSDT,ALAB,perpetual,USDⓈ-M,,股票,standard,2026-06-22T08:15:20.368000Z,2026-06-22T13:40:00Z,"Astera Labs, Inc. Common Stock (Nasdaq: ALAB)",USDT,20x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 ALAB,5 USDT,24/7,"ALABUSDT Perpetual Contract tracks the price of Astera Labs, Inc. Common Stock (Nasdaq: ALAB).",https://www.binance.com/en/futures/ALABUSDT,https://www.binance.com/en/support/announcement/detail/88ea4a4f9f0b4ad4b7b308195c026fe4
88ea4a4f9f0b4ad4b7b308195c026fe4,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-06-22),KLACUSDT,KLAC,perpetual,USDⓈ-M,,股票,standard,2026-06-22T08:15:20.368000Z,2026-06-22T13:35:00Z,KLA Corporation Common Stock (Nasdaq: KLAC),USDT,20x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 KLAC,5 USDT,24/7,KLACUSDT Perpetual Contract tracks the price of KLA Corporation Common Stock (Nasdaq: KLAC).,https://www.binance.com/en/futures/KLACUSDT,https://www.binance.com/en/support/announcement/detail/88ea4a4f9f0b4ad4b7b308195c026fe4
88ea4a4f9f0b4ad4b7b308195c026fe4,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-06-22),LRCXUSDT,LRCX,perpetual,USDⓈ-M,,股票,standard,2026-06-22T08:15:20.368000Z,2026-06-22T13:30:00Z,Lam Research Corporation Common Stock (Nasdaq: LRCX),USDT,20x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 LRCX,5 USDT,24/7,LRCXUSDT Perpetual Contract tracks the price of Lam Research Corporation Common Stock (Nasdaq: LRCX).,https://www.binance.com/en/futures/LRCXUSDT,https://www.binance.com/en/support/announcement/detail/88ea4a4f9f0b4ad4b7b308195c026fe4
005d1ef77538417cbe69d4703deb1969,"Binance Will Add Re (RE) on Earn, Buy Crypto, Convert, VIP Loan, Margin & Futures",REUSDT,RE,perpetual,USDⓈ-M,,加密资产,standard,2026-06-18T13:45:04.798000Z,2026-06-18T14:00:00Z,Re (RE),USDT,50x,+2.00% / -2.00%,Every Four Hours,0.0001,1 RE,5 USDT,24/7,,https://www.binance.com/en/futures/REUSDT,https://www.binance.com/en/support/announcement/detail/005d1ef77538417cbe69d4703deb1969
f622c1f2a1a94ba1894d9a9e265fb4b9,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-06-11),ASMLUSDT,ASML,perpetual,USDⓈ-M,,股票,standard,2026-06-11T07:30:03.874000Z,2026-06-11T09:40:00Z,ASML Holding N.V. New York Registry Shares (Nasdaq: ASML),USDT,20x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 ASML,5 USDT,24/7,ASMLUSDT Perpetual Contract tracks the price of ASML Holding N.V. New York Registry Shares (Nasdaq: ASML).,https://www.binance.com/en/futures/ASMLUSDT,https://www.binance.com/en/support/announcement/detail/f622c1f2a1a94ba1894d9a9e265fb4b9
f622c1f2a1a94ba1894d9a9e265fb4b9,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-06-11),STXXUSDT,STXX,perpetual,USDⓈ-M,,股票,standard,2026-06-11T07:30:03.874000Z,2026-06-11T09:35:00Z,Seagate Technology Holdings PLC Ordinary Shares (Ireland) (Nasdaq: STX),USDT,20x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 STXX,5 USDT,24/7,STXXUSDT Perpetual Contract tracks the price of Seagate Technology Holdings PLC Ordinary Shares (Ireland) (Nasdaq: STX).,https://www.binance.com/en/futures/STXXUSDT,https://www.binance.com/en/support/announcement/detail/f622c1f2a1a94ba1894d9a9e265fb4b9
f622c1f2a1a94ba1894d9a9e265fb4b9,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-06-11),GLWUSDT,GLW,perpetual,USDⓈ-M,,股票,standard,2026-06-11T07:30:03.874000Z,2026-06-11T09:30:00Z,Corning Incorporated Common Stock (NYSE: GLW),USDT,20x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 GLW,5 USDT,24/7,GLWUSDT Perpetual Contract tracks the price of Corning Incorporated Common Stock (NYSE: GLW).,https://www.binance.com/en/futures/GLWUSDT,https://www.binance.com/en/support/announcement/detail/f622c1f2a1a94ba1894d9a9e265fb4b9
f622c1f2a1a94ba1894d9a9e265fb4b9,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-06-11),ADBEUSDT,ADBE,perpetual,USDⓈ-M,,股票,standard,2026-06-11T07:30:03.874000Z,2026-06-11T09:25:00Z,Adobe Inc. Common Stock (Nasdaq: ADBE),USDT,20x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 ADBE,5 USDT,24/7,ADBEUSDT Perpetual Contract tracks the price of Adobe Inc. Common Stock (Nasdaq: ADBE).,https://www.binance.com/en/futures/ADBEUSDT,https://www.binance.com/en/support/announcement/detail/f622c1f2a1a94ba1894d9a9e265fb4b9
f622c1f2a1a94ba1894d9a9e265fb4b9,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-06-11),UVXYUSDT,UVXY,perpetual,USDⓈ-M,,股票,standard,2026-06-11T07:30:03.874000Z,2026-06-11T09:20:00Z,ProShares Ultra VIX Short Term Futures ETF (CBOE: UVXY),USDT,20x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 UVXY,5 USDT,24/7,UVXYUSDT Perpetual Contract tracks the price of ProShares Ultra VIX Short Term Futures ETF (CBOE: UVXY).,https://www.binance.com/en/futures/UVXYUSDT,https://www.binance.com/en/support/announcement/detail/f622c1f2a1a94ba1894d9a9e265fb4b9
f622c1f2a1a94ba1894d9a9e265fb4b9,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-06-11),BMNRUSDT,BMNR,perpetual,USDⓈ-M,,股票,standard,2026-06-11T07:30:03.874000Z,2026-06-11T09:15:00Z,"BitMine Immersion Technologies, Inc. Common Stock (NYSE: BMNR)",USDT,20x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 BMNR,5 USDT,24/7,"BMNRUSDT Perpetual Contract tracks the price of BitMine Immersion Technologies, Inc. Common Stock (NYSE: BMNR).",https://www.binance.com/en/futures/BMNRUSDT,https://www.binance.com/en/support/announcement/detail/f622c1f2a1a94ba1894d9a9e265fb4b9
b893d3539ae34c47856013b1f3cc94fb,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-06-10),XLEUSDT,XLE,perpetual,USDⓈ-M,,股票,standard,2026-06-10T04:30:19.549000Z,2026-06-10T09:20:00Z,State Street Energy Select Sector SPDR ETF (NYSE Arca: XLE),USDT,20x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 XLE,5 USDT,24/7,XLEUSDT Perpetual Contract tracks the price of State Street Energy Select Sector SPDR ETF (NYSE Arca: XLE).,https://www.binance.com/en/futures/XLEUSDT,https://www.binance.com/en/support/announcement/detail/b893d3539ae34c47856013b1f3cc94fb
b893d3539ae34c47856013b1f3cc94fb,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-06-10),GMEUSDT,GME,perpetual,USDⓈ-M,,股票,standard,2026-06-10T04:30:19.549000Z,2026-06-10T09:15:00Z,GameStop Corporation Common Stock (NYSE: GME),USDT,20x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 GME,5 USDT,24/7,GMEUSDT Perpetual Contract tracks the price of GameStop Corporation Common Stock (NYSE: GME).,https://www.binance.com/en/futures/GMEUSDT,https://www.binance.com/en/support/announcement/detail/b893d3539ae34c47856013b1f3cc94fb
b893d3539ae34c47856013b1f3cc94fb,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-06-10),RIVNUSDT,RIVN,perpetual,USDⓈ-M,,股票,standard,2026-06-10T04:30:19.549000Z,2026-06-10T09:10:00Z,"Rivian Automotive, Inc. Class A Common Stock (Nasdaq: RIVN)",USDT,20x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 RIVN,5 USDT,24/7,"RIVNUSDT Perpetual Contract tracks the price of Rivian Automotive, Inc. Class A Common Stock (Nasdaq: RIVN).",https://www.binance.com/en/futures/RIVNUSDT,https://www.binance.com/en/support/announcement/detail/b893d3539ae34c47856013b1f3cc94fb
b893d3539ae34c47856013b1f3cc94fb,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-06-10),DKNGUSDT,DKNG,perpetual,USDⓈ-M,,股票,standard,2026-06-10T04:30:19.549000Z,2026-06-10T09:05:00Z,DraftKings Inc. Class A Common Stock (Nasdaq: DKNG),USDT,20x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 DKNG,5 USDT,24/7,DKNGUSDT Perpetual Contract tracks the price of DraftKings Inc. Class A Common Stock (Nasdaq: DKNG).,https://www.binance.com/en/futures/DKNGUSDT,https://www.binance.com/en/support/announcement/detail/b893d3539ae34c47856013b1f3cc94fb
b893d3539ae34c47856013b1f3cc94fb,Binance Futures Will Launch Multiple USDⓈ-Margined TradFi Perpetual Contracts (2026-06-10),ZMUSDT,ZM,perpetual,USDⓈ-M,,股票,standard,2026-06-10T04:30:19.549000Z,2026-06-10T09:00:00Z,"Zoom Communications, Inc. Class A Common Stock (Nasdaq: ZM)",USDT,20x,+2.00% / -2.00%,Every Eight Hours,0.01,0.01 ZM,5 USDT,24/7,"ZMUSDT Perpetual Contract tracks the price of Zoom Communications, Inc. Class A Common Stock (Nasdaq: ZM).",https://www.binance.com/en/futures/ZMUSDT,https://www.binance.com/en/support/announcement/detail/b893d3539ae34c47856013b1f3cc94fb
